Timestamp,From Bank,From Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Conversion
2022/09/02 19:34,003229,803FF9220,0220271,81114D580,10295.53,US Dollar,9163.021700000001,US Dollar,ACH,1,0.89
2022/09/04 04:56,0220271,81114D580,013145,809BD8BC0,9743.15,US Dollar,8671.4035,US Dollar,ACH,1,0.89
2022/09/02 07:37,0115700,80B3E96E0,014099,801F8CCB0,17684.19,US Dollar,15738.9291,US Dollar,ACH,1,0.89
2022/09/03 04:39,014099,801F8CCB0,024144,801C92FF0,14819.83,Euro,14819.83,Euro,ACH,1,1.0
2022/09/01 18:17,022806,807A61380,006179,802D53D80,16345.56,US Dollar,14547.5484,US Dollar,ACH,1,0.89
2022/09/04 01:29,006179,802D53D80,0240229,80EE2B9B0,14199.39,Swiss Franc,15193.3473,Swiss Franc,ACH,1,1.07
2022/09/01 08:40,0214,80B7347A0,00410,802D878C0,6702.62,Euro,6702.62,Euro,ACH,1,1.0
2022/09/03 01:44,00410,802D878C0,003229,8063F5290,7617.17,US Dollar,6779.281300000001,US Dollar,ACH,1,0.89
2022/09/01 16:51,02591,80A1C7710,024850,80A09CF50,3724.19,Euro,3724.19,Euro,ACH,1,1.0
2022/09/02 12:47,024850,80A09CF50,023833,8067AD0A0,4646.02,US Dollar,4134.9578,US Dollar,ACH,1,0.89
2022/09/01 00:43,012963,80296CA20,0241869,80F390FC0,12562.68,Swiss Franc,13442.0676,Swiss Franc,ACH,1,1.07
2022/09/01 07:15,01588,801ABC430,0241869,80F390FC0,10475.35,Swiss Franc,11208.624500000002,Swiss Franc,ACH,1,1.07
2022/09/01 15:25,003051,8012E62B0,0241869,80F390FC0,13315.35,Swiss Franc,14247.424500000001,Swiss Franc,ACH,1,1.07
2022/09/01 15:32,02843,8043B07C0,0241869,80F390FC0,7999.49,Swiss Franc,8559.4543,Swiss Franc,ACH,1,1.07
2022/09/01 17:25,029788,80399CED0,0241869,80F390FC0,8430.98,Swiss Franc,9021.1486,Swiss Franc,ACH,1,1.07
2022/09/02 07:29,028183,80BF4C160,0241869,80F390FC0,295.9,Swiss Franc,316.613,Swiss Franc,ACH,1,1.07
2022/09/02 15:44,0131167,80C21E690,0241869,80F390FC0,3354.5,Swiss Franc,3589.315,Swiss Franc,ACH,1,1.07
2022/09/03 03:54,0129974,80FE25690,0241869,80F390FC0,9547.03,Swiss Franc,10215.322100000001,Swiss Franc,ACH,1,1.07
2022/09/03 07:12,003051,806A3D750,0241869,80F390FC0,2024.65,Swiss Franc,2166.3755,Swiss Franc,ACH,1,1.07
2022/09/03 11:07,0013157,805CA5A30,0241869,80F390FC0,4513.56,Swiss Franc,4829.5092,Swiss Franc,ACH,1,1.07
2022/09/03 14:28,001047,8031B5390,0241869,80F390FC0,12427.99,Swiss Franc,13297.9493,Swiss Franc,ACH,1,1.07
2022/09/04 14:07,0214050,80543C3C0,0241869,80F390FC0,1514.49,Swiss Franc,1620.5043,Swiss Franc,ACH,1,1.07
2022/09/04 16:21,001501,808C45FE0,0241869,80F390FC0,10058.54,Swiss Franc,10762.637800000002,Swiss Franc,ACH,1,1.07
2022/09/04 16:37,0241869,80F390FC0,007548,805284730,11674.83,Euro,11674.83,Euro,ACH,1,1.0
2022/09/04 17:23,0241869,80F390FC0,01467,801D43090,4832.76,US Dollar,4301.1564,US Dollar,ACH,1,0.89
2022/09/06 18:07,0241869,80F390FC0,022736,807DC76A0,6240.05,US Dollar,5553.6445,US Dollar,ACH,1,0.89
2022/09/06 19:16,0241869,80F390FC0,0129974,80E0D4970,7782.25,US Dollar,6926.2025,US Dollar,ACH,1,0.89
2022/09/01 01:57,0048309,81239C5C0,0032564,80C50EE70,4986.94,Mexican Peso,229.39924,Mexican Peso,ACH,1,0.046
2022/09/01 08:59,0032564,80C50EE70,004,806EE41E0,19454.87,Ruble,214.00356999999997,Ruble,ACH,1,0.011
2022/09/02 19:32,004,806EE41E0,019593,8038A9100,1573.91,Yuan,188.8692,Yuan,ACH,1,0.12
2022/09/03 14:44,019593,8038A9100,009129,80B4D3030,219.12,US Dollar,195.01680000000002,US Dollar,ACH,1,0.89
2022/09/04 16:35,009129,80B4D3030,01420,8016E2C30,219.12,US Dollar,195.01680000000002,US Dollar,ACH,1,0.89
2022/09/01 01:56,013057,80DED0520,0211,80A451570,26390.87,Australian Dollar,15042.795899999997,Australian Dollar,ACH,1,0.57
2022/09/01 03:35,0211,80A451570,0017401,80D179410,19934.49,US Dollar,17741.6961,US Dollar,ACH,1,0.89
2022/09/01 16:58,0017401,80D179410,0028663,80A976860,28163.45,Australian Dollar,16053.1665,Australian Dollar,ACH,1,0.57
2022/09/01 17:21,0028663,80A976860,00795,80BAEB330,23674.7,US Dollar,21070.483,US Dollar,ACH,1,0.89
2022/09/02 00:27,00795,80BAEB330,0017753,806D399E0,23102.65,US Dollar,20561.358500000002,US Dollar,ACH,1,0.89
2022/09/03 13:44,0017753,806D399E0,027,80BE74FC0,488461.69,Mexican Peso,22469.23774,Mexican Peso,ACH,1,0.046
2022/09/03 18:35,027,80BE74FC0,0239692,80EA93ED0,21138.93,Swiss Franc,22618.6551,Swiss Franc,ACH,1,1.07
2022/09/04 01:34,0239692,80EA93ED0,001124,8079EC940,25434.28,US Dollar,22636.5092,US Dollar,ACH,1,0.89
2022/09/04 13:55,001124,8079EC940,027103,80F93F560,19959.31,Euro,19959.31,Euro,ACH,1,1.0
2022/09/04 18:29,027103,80F93F560,013057,80DED0520,19959.31,Euro,19959.31,Euro,ACH,1,1.0
2022/09/01 01:34,0116,80F1AF380,0127593,80A817660,16502.02,Australian Dollar,9406.151399999999,Australian Dollar,ACH,1,0.57
2022/09/01 05:44,0116,80F1AF380,013145,80D210C20,17193.07,US Dollar,15301.8323,US Dollar,ACH,1,0.89
2022/09/01 19:38,0116,80F1AF380,009679,809ACB660,278872.19,Yen,1729.007578,Yen,ACH,1,0.0062
2022/09/02 05:02,0116,80F1AF380,001655,811F9C580,3620.93,Euro,3620.93,Euro,ACH,1,1.0
2022/09/02 16:17,0116,80F1AF380,0222819,808CE0050,5430.89,UK Pound,6408.4502,UK Pound,ACH,1,1.18
2022/09/02 17:29,0116,80F1AF380,021387,803158350,284.56,Euro,284.56,Euro,ACH,1,1.0
2022/09/02 19:56,0116,80F1AF380,007042,810C0C4D0,17454.74,US Dollar,15534.718600000002,US Dollar,ACH,1,0.89
2022/09/03 06:57,0116,80F1AF380,0243614,8113C5790,53268.16,Shekel,13317.04,Shekel,ACH,1,0.25
2022/09/03 18:53,0116,80F1AF380,001124,805F9C820,6986.5,US Dollar,6217.985,US Dollar,ACH,1,0.89
2022/09/04 16:18,0116,80F1AF380,012,8023ED8B0,19725.23,US Dollar,17555.4547,US Dollar,ACH,1,0.89
2022/09/04 16:40,0116,80F1AF380,0148348,81203F670,28865.06,Saudi Riyal,6927.6144,Saudi Riyal,ACH,1,0.24
2022/09/04 18:23,0116,80F1AF380,024515,8043B2310,5150.77,US Dollar,4584.1853,US Dollar,ACH,1,0.89
2022/09/01 01:50,0241079,80EF0F190,0123288,80F5B71F0,13074.86,US Dollar,11636.6254,US Dollar,ACH,1,0.89
2022/09/04 17:47,0241079,80EF0F190,0217496,806F3FE20,1052179.48,Ruble,11573.974279999999,Ruble,ACH,1,0.011
2022/09/01 11:03,011904,80103A420,014077,802533E40,12347.2,US Dollar,10989.008000000002,US Dollar,ACH,1,0.89
2022/09/02 16:43,003489,80211F620,013265,8019C6830,15645.62,Euro,15645.62,Euro,ACH,1,1.0
2022/09/02 12:00,021745,800A75B90,001,80162B4B0,7687.95,US Dollar,6842.2755,US Dollar,ACH,1,0.89
2022/09/01 04:39,001,8010AA4F0,012719,8015B5F50,9495.61,US Dollar,8451.092900000001,US Dollar,ACH,1,0.89
2022/09/02 08:17,001,800DD9900,011157,8006F0580,488.77,US Dollar,435.0053,US Dollar,ACH,1,0.89
2022/09/01 17:05,01522,800587B60,002454,802679190,5949.73,US Dollar,5295.2597,US Dollar,ACH,1,0.89
2022/09/01 16:19,00513,801947FF0,01292,800639010,13556.28,US Dollar,12065.0892,US Dollar,ACH,1,0.89
2022/09/02 08:58,001244,800ACE160,021831,800AEC6D0,12580.81,Euro,12580.81,Euro,ACH,1,1.0
2022/09/01 11:32,01547,8020543A0,023525,8018DC000,4666.4,Euro,4666.4,Euro,ACH,1,1.0
2022/09/01 07:39,021575,801A58F80,011,80048D890,5019.15,Euro,5019.15,Euro,ACH,1,1.0
2022/09/01 09:50,020,800BBBEC0,01688,801732D60,9435.24,US Dollar,8397.3636,US Dollar,ACH,1,0.89
2022/09/01 19:00,01502,8010647D0,002053,801CFFF90,10205.61,US Dollar,9082.992900000001,US Dollar,ACH,1,0.89
2022/09/02 11:44,014290,801BA48E0,012,80044F690,1581.32,Euro,1581.32,Euro,ACH,1,1.0
2022/09/01 03:05,011,800178CC0,020,800283B60,10076.59,Euro,10076.59,Euro,ACH,1,1.0
2022/09/01 11:59,020,800283B60,010,8001A6140,12181.84,US Dollar,10841.8376,US Dollar,ACH,1,0.89
2022/09/02 05:42,010,8001A6140,022,800202780,10957.61,Euro,10957.61,Euro,ACH,1,1.0
2022/09/02 07:42,022,800202780,010,800119810,13787.17,US Dollar,12270.5813,US Dollar,ACH,1,0.89
2022/09/02 11:44,010,800119810,012,80010D740,10935.38,Euro,10935.38,Euro,ACH,1,1.0
2022/09/02 17:56,012,80010D740,020,8001B0FA0,10657.39,Euro,10657.39,Euro,ACH,1,1.0
2022/09/03 09:30,020,8001B0FA0,023,8002A0E00,9853.41,Euro,9853.41,Euro,ACH,1,1.0
2022/09/04 10:30,023,8002A0E00,00220,800115860,12271.88,US Dollar,10921.973199999999,US Dollar,ACH,1,0.89
2022/09/01 03:53,0148350,811FFF630,0148350,812D0C3C0,69301.15,Saudi Riyal,16632.275999999998,Saudi Riyal,ACH,1,0.24
2022/09/02 08:55,0050528,812D0C600,0148350,812D0C3C0,8608.45,Saudi Riyal,2066.0280000000002,Saudi Riyal,ACH,1,0.24
2022/09/02 17:54,0148350,812D0C3C0,0148350,811FFF630,30234.15,Saudi Riyal,7256.196,Saudi Riyal,ACH,1,0.24
2022/09/04 18:04,0148350,812D0C3C0,0050528,812D0C600,21901.4,Saudi Riyal,5256.336,Saudi Riyal,ACH,1,0.24
2022/09/01 04:47,0222,811B83280,0119,811C597B0,13148.66,Saudi Riyal,3155.6784,Saudi Riyal,ACH,1,0.24
2022/09/04 16:56,0048309,811C599A0,0119,811C597B0,24189.19,Saudi Riyal,5805.405599999999,Saudi Riyal,ACH,1,0.24
2022/09/02 17:50,012,800C050D0,0010656,8044B4190,431045.44,Yen,2672.4817279999997,Yen,ACH,1,0.0062
2022/09/01 10:44,0224555,80CDF9CD0,0022422,808838010,3108.27,UK Pound,3667.7585999999997,UK Pound,ACH,1,1.18
2022/09/02 11:50,02843,808E9DCD0,014290,811F91690,6544.1,Euro,6544.1,Euro,ACH,1,1.0
2022/09/02 13:57,006,80A2953E0,011,8021309A0,1498.33,Euro,1498.33,Euro,ACH,1,1.0
2022/09/02 01:10,0043818,8102394B0,0245993,810DF3480,19892.08,US Dollar,17703.951200000003,US Dollar,ACH,1,0.89
2022/09/01 06:02,015055,802958DB0,018460,810E1A430,9441.63,Euro,9441.63,Euro,ACH,1,1.0
2022/09/02 11:37,001669,8015A3ED0,016,804DA7470,486033.01,Rupee,4860.3301,Rupee,ACH,1,0.01
2022/09/01 14:37,0211,811FA3310,003420,80932CC40,8391059.57,US Dollar,7468043.0173,US Dollar,ACH,1,0.89
2022/09/02 13:49,0021615,8083E2D60,0249118,811DFB6B0,44983.26,Saudi Riyal,10795.9824,Saudi Riyal,ACH,1,0.24
2022/09/01 17:07,021745,810FB7950,027444,80445F940,16903.1,US Dollar,15043.758999999998,US Dollar,ACH,1,0.89
2022/09/01 07:57,001267,8047B6D80,0214,8090E3020,11621.36,Canadian Dollar,7437.670400000001,Canadian Dollar,ACH,1,0.64
2022/09/02 06:33,02915,800A3E5A0,0035670,80DA83990,5030.49,US Dollar,4477.1361,US Dollar,ACH,1,0.89
2022/09/01 06:23,0149345,812D1AC00,0048308,811ED7DF0,45346.12,Saudi Riyal,10883.068800000001,Saudi Riyal,ACH,1,0.24
2022/09/01 15:27,0223,8119F8CC0,0048308,811ED7DF0,30299.15,Saudi Riyal,7271.796,Saudi Riyal,ACH,1,0.24
2022/09/02 01:39,0048309,81235EAA0,0048308,811ED7DF0,8117.8,Saudi Riyal,1948.272,Saudi Riyal,ACH,1,0.24
2022/09/02 06:36,0048910,8120D49E0,0048308,811ED7DF0,72635.55,Saudi Riyal,17432.532,Saudi Riyal,ACH,1,0.24
2022/09/02 09:57,0249176,81235EC40,0048308,811ED7DF0,14363.22,Saudi Riyal,3447.1728,Saudi Riyal,ACH,1,0.24
2022/09/02 13:13,0148348,81235EE30,0048308,811ED7DF0,11495.93,Saudi Riyal,2759.0232,Saudi Riyal,ACH,1,0.24
2022/09/02 18:31,0118,811A67510,0048308,811ED7DF0,47915.92,Saudi Riyal,11499.8208,Saudi Riyal,ACH,1,0.24
2022/09/03 07:57,0148016,811FCA7B0,0048308,811ED7DF0,18841.21,Saudi Riyal,4521.890399999999,Saudi Riyal,ACH,1,0.24
2022/09/03 09:14,0119,8000DA7D0,0048308,811ED7DF0,65196.57,Saudi Riyal,15647.1768,Saudi Riyal,ACH,1,0.24
2022/09/03 16:24,0223,811EDA940,0048308,811ED7DF0,71981.58,Saudi Riyal,17275.5792,Saudi Riyal,ACH,1,0.24
2022/09/03 17:28,0048526,8120D4990,0048308,811ED7DF0,66492.84,Saudi Riyal,15958.281599999998,Saudi Riyal,ACH,1,0.24
2022/09/04 05:17,0223,812D1A410,0048308,811ED7DF0,20597.36,Saudi Riyal,4943.3664,Saudi Riyal,ACH,1,0.24
2022/09/04 07:10,0249118,812D1A650,0048308,811ED7DF0,291133.92,Saudi Riyal,69872.1408,Saudi Riyal,ACH,1,0.24
2022/09/04 11:44,0251264,812D1B280,0048308,811ED7DF0,66719.61,Saudi Riyal,16012.7064,Saudi Riyal,ACH,1,0.24
2022/09/04 15:28,0223,811A65E30,0048308,811ED7DF0,37976.48,Saudi Riyal,9114.3552,Saudi Riyal,ACH,1,0.24
2022/09/05 01:18,0121,811E03C30,0048308,811ED7DF0,30922.13,Saudi Riyal,7421.3112,Saudi Riyal,ACH,1,0.24
2022/09/01 06:46,023,8001FE5D0,012,800054B70,18748.97,US Dollar,16686.583300000002,US Dollar,ACH,1,0.89
2022/09/03 08:47,020,80012E0B0,012,800054B70,8369.42,US Dollar,7448.7838,US Dollar,ACH,1,0.89
2022/09/03 07:04,012,800054B70,00410,8002438B0,12156.43,Euro,12156.43,Euro,ACH,1,1.0
2022/09/03 21:58,012,800054B70,012,8002924E0,3042618.84,Euro,3042618.84,Euro,ACH,1,1.0
2022/09/04 11:04,012,800054B70,011,800240F20,219.13,Euro,219.13,Euro,ACH,1,1.0
2022/09/05 09:55,012,800054B70,011,8001205B0,4878.69,Euro,4878.69,Euro,ACH,1,1.0
2022/09/05 10:43,012,800054B70,028,8000B4150,262128.59,Mexican Peso,12057.91514,Mexican Peso,ACH,1,0.046
2022/09/05 20:13,012,800054B70,011,8001021C0,11139.43,Euro,11139.43,Euro,ACH,1,1.0
2022/09/01 06:47,0150240,812D22980,0048309,811C599A0,27247.23,Saudi Riyal,6539.3351999999995,Saudi Riyal,ACH,1,0.24
2022/09/02 12:11,0048309,811C599A0,0119,811C597B0,25324.89,Saudi Riyal,6077.973599999999,Saudi Riyal,ACH,1,0.24
2022/09/02 17:23,0119,811C597B0,0222,811B83280,24134.09,Saudi Riyal,5792.1816,Saudi Riyal,ACH,1,0.24
2022/09/01 07:57,0213952,808338D40,0025534,8095B6AF0,20649.41,Canadian Dollar,13215.6224,Canadian Dollar,ACH,1,0.64
2022/09/03 05:33,0025534,8095B6AF0,0026442,80AEBECB0,13387.39,US Dollar,11914.7771,US Dollar,ACH,1,0.89
2022/09/02 08:55,0213952,808338D40,020,803892E30,93566.3,Yuan,11227.956,Yuan,ACH,1,0.12
2022/09/02 07:13,020,803892E30,0026442,80AEBECB0,13970.12,US Dollar,12433.4068,US Dollar,ACH,1,0.89
2022/09/02 13:04,0213952,808338D40,0213952,806D47B10,10245.65,US Dollar,9118.6285,US Dollar,ACH,1,0.89
2022/09/01 08:40,0213952,806D47B10,0026442,80AEBECB0,10104.07,US Dollar,8992.622299999999,US Dollar,ACH,1,0.89
2022/09/04 00:16,0213952,808338D40,010,801396710,17678.33,US Dollar,15733.713700000002,US Dollar,ACH,1,0.89
2022/09/03 14:26,010,801396710,0026442,80AEBECB0,14175.03,US Dollar,12615.7767,US Dollar,ACH,1,0.89
2022/09/04 13:53,0213952,808338D40,028627,80B9F0EE0,7930.88,Euro,7930.88,Euro,ACH,1,1.0
2022/09/01 09:31,028627,80B9F0EE0,0026442,80AEBECB0,7678.43,US Dollar,6833.8027,US Dollar,ACH,1,0.89
2022/09/02 12:32,0213952,808338D40,011056,80ABDD6E0,2962.96,Euro,2962.96,Euro,ACH,1,1.0
2022/09/01 19:20,011056,80ABDD6E0,0026442,80AEBECB0,2876.57,US Dollar,2560.1473,US Dollar,ACH,1,0.89
2022/09/04 10:24,0213952,808338D40,012,801DA8990,3072.27,US Dollar,2734.3203,US Dollar,ACH,1,0.89
2022/09/02 18:37,012,801DA8990,0026442,80AEBECB0,3055.18,US Dollar,2719.1102,US Dollar,ACH,1,0.89
2022/09/04 16:06,0213952,808338D40,0018405,806DA0590,702720.03,Ruble,7729.92033,Ruble,ACH,1,0.011
2022/09/01 18:40,0018405,806DA0590,0026442,80AEBECB0,9031.93,US Dollar,8038.4177,US Dollar,ACH,1,0.89
2022/09/02 11:11,0213952,808338D40,0115915,80A32F2B0,9970.25,US Dollar,8873.522500000001,US Dollar,ACH,1,0.89
2022/09/04 05:33,0115915,80A32F2B0,0026442,80AEBECB0,9970.25,US Dollar,8873.522500000001,US Dollar,ACH,1,0.89
2022/09/02 13:30,0213952,808338D40,009482,806694250,8514.12,US Dollar,7577.5668000000005,US Dollar,ACH,1,0.89
2022/09/04 08:09,009482,806694250,0026442,80AEBECB0,6932.43,US Dollar,6169.862700000001,US Dollar,ACH,1,0.89
2022/09/02 23:03,0213952,808338D40,0043049,81024EED0,49099.32,Shekel,12274.83,Shekel,ACH,1,0.25
2022/09/03 11:28,0043049,81024EED0,0026442,80AEBECB0,14539.33,US Dollar,12940.0037,US Dollar,ACH,1,0.89
2022/09/04 14:41,0213952,808338D40,004726,803CA44E0,3927.81,US Dollar,3495.7509,US Dollar,ACH,1,0.89
2022/09/03 11:37,004726,803CA44E0,0026442,80AEBECB0,4369.39,US Dollar,3888.7571000000003,US Dollar,ACH,1,0.89
2022/09/02 19:08,0213952,808338D40,01729,800AB4E80,19101.6,US Dollar,17000.424,US Dollar,ACH,1,0.89
2022/09/04 21:37,01729,800AB4E80,0026442,80AEBECB0,19101.6,US Dollar,17000.424,US Dollar,ACH,1,0.89
2022/09/05 07:40,0213952,808338D40,018097,80EF96640,51805.35,Yuan,6216.642,Yuan,ACH,1,0.12
2022/09/05 07:23,018097,80EF96640,0026442,80AEBECB0,6349.41,US Dollar,5650.9749,US Dollar,ACH,1,0.89
2022/09/01 09:04,0213952,808338D40,0110057,804162D10,1449610.43,Yen,8987.584665999999,Yen,ACH,1,0.0062
2022/09/02 16:57,0110057,804162D10,0026442,80AEBECB0,13753.42,US Dollar,12240.5438,US Dollar,ACH,1,0.89
2022/09/02 10:14,0213952,808338D40,0022155,80CB4E960,6004.01,UK Pound,7084.7318,UK Pound,ACH,1,1.18
2022/09/03 13:17,0022155,80CB4E960,0026442,80AEBECB0,7361.11,US Dollar,6551.3879,US Dollar,ACH,1,0.89
2022/09/01 08:02,005464,802125640,001411,800BFED10,16465.55,US Dollar,14654.3395,US Dollar,ACH,1,0.89
2022/09/01 16:44,001411,800BFED10,012735,80150CB00,16465.55,US Dollar,14654.3395,US Dollar,ACH,1,0.89
2022/09/01 21:54,012735,80150CB00,01674,801309540,16435.09,US Dollar,14627.2301,US Dollar,ACH,1,0.89
2022/09/02 06:52,01674,801309540,01362,800463160,16435.09,US Dollar,14627.2301,US Dollar,ACH,1,0.89
2022/09/03 06:03,01362,800463160,001024,8009FD760,14025.71,Euro,14025.71,Euro,ACH,1,1.0
2022/09/03 14:48,001024,8009FD760,003149,8013DB9A0,16435.09,US Dollar,14627.2301,US Dollar,ACH,1,0.89
2022/09/04 12:17,003149,8013DB9A0,01362,8003A56A0,17142.37,US Dollar,15256.709299999999,US Dollar,ACH,1,0.89
2022/09/04 12:56,01362,8003A56A0,021174,800776AF0,17533.2,US Dollar,15604.548,US Dollar,ACH,1,0.89
2022/09/04 13:22,021174,800776AF0,01547,8018245C0,14962.84,Euro,14962.84,Euro,ACH,1,1.0
2022/09/05 01:27,01547,8018245C0,005464,802125640,13953.79,Euro,13953.79,Euro,ACH,1,1.0
2022/09/01 08:21,011,8001027C0,01362,8001ECD70,8340.74,US Dollar,7423.2586,US Dollar,ACH,1,0.89
2022/09/01 11:34,020,800246FC0,01362,8001ECD70,15524.16,US Dollar,13816.5024,US Dollar,ACH,1,0.89
2022/09/01 12:19,020,800060420,01362,8001ECD70,16367.46,US Dollar,14567.0394,US Dollar,ACH,1,0.89
2022/09/02 04:06,020,800283B60,01362,8001ECD70,1869.72,US Dollar,1664.0508,US Dollar,ACH,1,0.89
2022/09/02 12:55,012,800137450,01362,8001ECD70,5073.01,US Dollar,4514.9789,US Dollar,ACH,1,0.89
2022/09/02 14:13,012,800117590,01362,8001ECD70,16050.64,US Dollar,14285.069599999999,US Dollar,ACH,1,0.89
2022/09/03 14:57,01490,800A180A0,01362,8001ECD70,161.35,US Dollar,143.6015,US Dollar,ACH,1,0.89
2022/09/04 09:59,001,800056160,01362,8001ECD70,4383.81,US Dollar,3901.5909000000006,US Dollar,ACH,1,0.89
2022/09/04 14:46,023,8001D7610,01362,8001ECD70,3757.42,US Dollar,3344.1038000000003,US Dollar,ACH,1,0.89
2022/09/04 17:08,012,800205030,01362,8001ECD70,11896790.65,US Dollar,10588143.6785,US Dollar,ACH,1,0.89
